id,text,created
236,orientation sexuelle,0
237,Origine de la domination masculine,0
238,pansexualité,0
239,parité,0
240,parole,0
241,passing,0
242,patriarcat,0
243,pauvreté,0
244,personnes handicapées,0
245,personnes handicapées / non valides,0
246,Personnes intersexes,0
247,personnes roms,0
248,phobie sociale,0
249,pick up artist,0
250,pinkwashing,0
251,pma,0
252,poils,0
253,politique,0
254,porno,0
255,porno féministe,0
256,post-colonialisme,0
257,privilège blanc,0
258,privilège hétéro,0
259,privilège masculin,0
260,privilège minceur,0
261,privilège valide,0
262,pro choix,0
263,pro-féministes,0
264,pro-sexe,0
265,prostitution,0
266,psychophobie,0
267,ptsd,0
268,putophobie,0
269,queer,0
270,racisé-e-s,0
271,racisme,0
272,racisme anti-asiatique,0
273,racisme anti-blanc,0
274,racisme anti-noir-es / negrophobie,0
275,racisme anti-roms,0
276,racisme bienveillant,0
277,racisme ordinaire,0
278,racisme systèmique,0
279,règles,0
280,religion,0
281,Réponse aux arguments anti-fem,0
282,représentation,0
283,Respectability Politics,0
284,revenge porn,0
285,robots sexuels,0
286,santé,0
287,santé mentale,0
288,schizophrénie,0
289,seins,0
290,sérophobie,0
291,séropositivité,0
292,sexe,0
293,sexe & patriarcat,0
294,sexe hétéro,0
295,sexisme,0
296,sexisme anti-hommes,0
297,sexisme bienveillant,0
298,sexisme dans le travail,0
299,sexualisation,0
300,sexualité,0
301,sidération psychique,0
302,slut shaming,0
303,sociologie,0
304,sopk,0
305,spectre ace,0
306,spectre autistique,0
307,statistique,0
308,stéréotype de genre,0
309,stéréotypes,0
310,stress post-traumatique,0
311,suprématisme blanc,0
312,surdité,0
313,syndrome de la Shtroumpfette,0
314,syndrome Galadriel,0
315,syndrome Trinity,0
316,T'as le mauvais combat,0
317,tdah,0
318,théorie des cuillères,0
319,tone policing,0
320,transgenre,0
321,transidentité,0
322,transition de genre,0
323,transmisogygnie,0
324,transphobie,0
325,travail,0
326,travail domestique,0
327,travail du sexe,0
328,Troubles dys,0
329,tu viens d'où?,0
330,tv tropes,0
331,utérus,0
332,Utilisation du féminisme à des fins racistes,0
333,vagin,0
334,validation du physique des femmes,0
335,valide-porn,0
336,validisme,0
337,véganisme™,0
338,vêtements,0
339,victim blaming,0
340,VIH / SIDA,0
341,viol,0
342,viol conjugal,0
343,violences conjugales,0
344,violences contre les femmes,0
345,violences médicales,0
346,violences obstétricales,0
347,violences policières,0
348,violences sexistes,0
349,violences sexuelles,0
350,violeurs,0
351,virilisme,0
352,virilité,0
353,voile,0
354,volontourisme,0
355,vulve,0
356,white gaze,0
357,white passing,0
358,white saviorism,0
359,woman in the fridge,0
360,zone grise,0
