web-scraper-order,web-scraper-start-url,link_title,link_title-href,next_page,next_page-href
"1582241789-304","http://bafe.fr","Mémoire traumatique et conduites dissociantes","https://blogs.mediapart.fr/muriel-salmona/blog/041012/memoire-traumatique-et-conduites-dissociantes","Page suivante","http://bafe.fr/page/10/"
"1582241848-1021","http://bafe.fr","BuzzFeed Asks 25 Fashion Companies: « Will You Still Work With Terry Richardson? »","https://www.buzzfeed.com/jtes/buzzfeed-asks-25-fashion-companies-will-you-still-work-with","Page suivante","http://bafe.fr/page/34/"
"1582241789-321","http://bafe.fr","La blackface n’est pas une pratique anodine","https://twitter.com/Desracine_e_s/status/838692129790644224","Page suivante","http://bafe.fr/page/10/"
"1582241782-232","http://bafe.fr","[illustration] Nos gros mots sont des blaireaux.","http://www.klaire.fr/neon/neon-nos-gros-mots-sont-des-blaireaux/","Page suivante","http://bafe.fr/page/7/"
"1582241789-322","http://bafe.fr","Le Comité d’éthique favorable à la PMA pour les couples lesbiens et les célibataires","http://www.lemonde.fr/societe/article/2017/06/27/le-comite-d-ethique-deverrouille-le-debat-sur-la-procreation-medicalement-assistee_5151717_3224.html","Page suivante","http://bafe.fr/page/10/"
"1582241800-423","http://bafe.fr","Les concerné-e-s","https://feminazgulencolere.wordpress.com/2016/08/06/les-concerne-e-s/","Page suivante","http://bafe.fr/page/14/"
"1582241816-624","http://bafe.fr","Tous égaux devant la médecine… Surtout les hommes","http://www.liberation.fr/debats/2017/03/22/tous-egaux-devant-la-medecine-surtout-les-hommes_1557628","Page suivante","http://bafe.fr/page/20/"
"1582241837-883","http://bafe.fr","La fragilité blanche : pourquoi est-ce si dur de parler aux Blancs de racisme ?","http://www.etatdexception.net/la-fragilite-blanche-pourquoi-est-ce-si-dur-de-parler-aux-blancs-de-racisme/","Page suivante","http://bafe.fr/page/29/"
"1582241771-117","http://bafe.fr","Vos préférences sexuelles sentent-elles bon le racisme ?","https://jesuisfeministe.com/2018/09/19/vos-preferences-sexuelles-sentent-elles-bon-le-racisme/","Page suivante","http://bafe.fr/page/3/"
"1582241800-432","http://bafe.fr","les « paternités imposées », l’invention d’un faux problème","http://lmsi.net/Les-paternites-imposees-l","Page suivante","http://bafe.fr/page/14/"
"1582241822-699","http://bafe.fr","Le gang misandre","http://legangmisandre.tumblr.com/","Page suivante","http://bafe.fr/page/23/"
"1582241829-783","http://bafe.fr","L’impuissance comme idéal de beauté des femmes – une mobilité réduite","https://antisexisme.net/2016/01/23/impuissance-03/","Page suivante","http://bafe.fr/page/26/"
"1582241804-484","http://bafe.fr","Le « Slut Shaming »","http://decolereetdespoir.blogspot.pt/2016/09/le-cote-sombre-de-la-garde-partagee-une.html","Page suivante","http://bafe.fr/page/16/"
"1582241773-145","http://bafe.fr","[podcast] Comment en finir avec le mythe de la virilité?","http://cheekmagazine.fr/podcasts/olivia-gazale-mythe-virilite/","Page suivante","http://bafe.fr/page/4/"
"1582241816-614","http://bafe.fr","Pourquoi misogynie assumée et misogynie honteuse persistent dans nos sociétés contemporaines ?","http://www.lesinrocks.com/2017/06/23/idees/un-essai-brillant-nous-devoile-les-visages-tenaces-de-la-misogynie-11958499/","Page suivante","http://bafe.fr/page/20/"
"1582241784-256","http://bafe.fr","[anglais] ‘Model Minority’ Myth Again Used As A Racial Wedge Between Asians And Blacks","http://www.npr.org/sections/codeswitch/2017/04/19/524571669/model-minority-myth-again-used-as-a-racial-wedge-between-asians-and-blacks","Page suivante","http://bafe.fr/page/8/"
"1582241834-857","http://bafe.fr","Blogueuse, française et noire, je me bats contre l’appropriation culturelle","https://i-d.vice.com/fr/article/blogueuse-franaise-et-noire-je-me-bats-contre-lappropriation-culturelle","Page suivante","http://bafe.fr/page/28/"
"1582241845-997","http://bafe.fr","8 choses que les hommes peuvent faire à part « nous croire » #StopCultureDuViol","http://decolereetdespoir.blogspot.pt/2016/10/8-choses-que-les-hommes-peuvent-faire.html","Page suivante","http://bafe.fr/page/33/"
"1582241818-657","http://bafe.fr","[vidéo] Ce vendredi sur FRANCE 24 nous avons entre autres débattu de #Theo et des violences policiers.","https://www.facebook.com/rokhaya.diallo/videos/1367698919938102/?hc_location=ufi","Page suivante","http://bafe.fr/page/21/"
"1582241813-585","http://bafe.fr","Archives du féminisme","http://www.archivesdufeminisme.fr/","Page suivante","http://bafe.fr/page/19/"
"1582241789-301","http://bafe.fr","Méduse, Karaba, Sorcière","http://alohatallulah.blogspot.fr/2017/01/meduse-karaba-sorciere.html","Page suivante","http://bafe.fr/page/10/"
"1582241837-875","http://bafe.fr","A quoi les migrants ont-ils vraiment droit en France ?","http://www.lemonde.fr/les-decodeurs/article/2016/10/13/a-quoi-les-migrants-ont-ils-vraiment-droit-en-france_5012683_4355770.html","Page suivante","http://bafe.fr/page/29/"
"1582241795-388","http://bafe.fr","[vidéo] Un cookie ? : Tous les hommes ne sont pas des violeurs","https://www.youtube.com/watch?v=DXrEchh7Loo&list=PLhBTPBBSq3xSDwUE1ok49XEIEICJ5XnGI&index=7","Page suivante","http://bafe.fr/page/12/"
"1582241798-396","http://bafe.fr","[vidéo] Un cookie ? : Vous ne voulez pas l’égalité mais la domination","https://www.youtube.com/watch?v=z1JXlt9uovE&list=PLhBTPBBSq3xSDwUE1ok49XEIEICJ5XnGI&index=15","Page suivante","http://bafe.fr/page/13/"
"1582241786-282","http://bafe.fr","En Turquie, les femmes défendent leur droit à s’habiller comme elles veulent","http://abonnes.lemonde.fr/europe/article/2017/08/07/en-turquie-les-femmes-defendent-leur-droit-a-s-habiller-comme-elles-veulent_5169604_3214.html","Page suivante","http://bafe.fr/page/9/"
"1582241773-123","http://bafe.fr","Pourquoi les mecs préfèrent les mecs","https://lemecxpliqueur.wordpress.com/2018/09/11/pourquoi-les-mecs-preferent-les-mecs/","Page suivante","http://bafe.fr/page/4/"
"1582241782-212","http://bafe.fr","10 choses que vous ignorez (peut-être) sur les séropositifs","https://tetu.com/2017/01/31/10-choses-ignorez-seropositifs-2017/","Page suivante","http://bafe.fr/page/7/"
"1582241802-455","http://bafe.fr","SEXE OBLIGATOIRE","http://urbania.ca/216741/sexe-obligatoire/","Page suivante","http://bafe.fr/page/15/"
"1582241843-977","http://bafe.fr","Peut-on vraiment rester neutre dans une affaire de viol ?","https://simonae.fr/militantisme/feminismes/rester-neutre-affaire-viol/","Page suivante","http://bafe.fr/page/32/"
"1582241802-461","http://bafe.fr","Message à l’attention des mecs que j’aime bien mais qui sont oppressifs (oui, toi.)","https://sansdeclinersnarclens.tumblr.com/post/143124556873/message-%C3%A0-lattention-des-mecs-que-jaime-bien","Page suivante","http://bafe.fr/page/15/"
"1582241839-915","http://bafe.fr","To bi or not to bi* – Bisexualité et biphobie","http://simonae.fr/militantisme/thematiques-queer/to-bi-or-not-to-bi-bisexualite-biphobie/","Page suivante","http://bafe.fr/page/30/"
"1582241800-447","http://bafe.fr","En tant qu’homme, je ne suis pas féministe, peut-être proféministe","http://www.huffingtonpost.fr/patric-jean/feministe-profeministe-journee-droits-femmes_b_9384132.html","Page suivante","http://bafe.fr/page/14/"
"1582241845-1014","http://bafe.fr","La culture du viol est aussi une culture de la surveillance","https://www.buzzfeed.com/scaachikoul/la-culture-du-viol-est-une-culture-de-la-surveillance?utm_term=.fcV3o9m5Z#.xso7bQpaj","Page suivante","http://bafe.fr/page/33/"
"1582241822-710","http://bafe.fr","Lallab, le nouveau visage du féminisme musulman","http://www.lemonde.fr/afrique/article/2017/05/09/lallab-le-nouveau-visage-du-feminisme-musulman_5124926_3212.html","Page suivante","http://bafe.fr/page/23/"
"1582241816-604","http://bafe.fr","[vidéo] Le colorisme | Keyholes & Snapshots","https://www.youtube.com/watch?v=US3LyMBqqCc","Page suivante","http://bafe.fr/page/20/"
"1582241829-784","http://bafe.fr","L’impuissance comme idéal de beauté des femmes – Introduction","https://antisexisme.net/2016/01/02/impuissance-01/","Page suivante","http://bafe.fr/page/26/"
"1582241839-903","http://bafe.fr","Le racisme comme système","http://uneheuredepeine.blogspot.pt/2014/09/le-racisme-comme-systeme.html","Page suivante","http://bafe.fr/page/30/"
"1582241843-969","http://bafe.fr","[vidéo] Un cookie ? : les violeurs sont des malades mentaux","https://youtu.be/za-O9cVjVEY","Page suivante","http://bafe.fr/page/32/"
"1582241784-258","http://bafe.fr","La bisexualité pour les nul·le·s","http://roseaux.co/2017/06/la-bisexualite-pour-les-nul-le-s-ou-pourquoi-je-refuse-de-choisir/","Page suivante","http://bafe.fr/page/8/"
"1582241818-658","http://bafe.fr","« L’agressivité de la police est triplée quand les contrôlés ne sont pas blancs »","http://tempsreel.nouvelobs.com/societe/20170208.OBS5073/l-agressivite-de-la-police-est-triplee-quand-les-controles-ne-sont-pas-blancs.html","Page suivante","http://bafe.fr/page/21/"
"1582241834-865","http://bafe.fr","[vidéo] Comment traduire le black feminism","https://www.youtube.com/watch?v=MZ70ayBaJF4","Page suivante","http://bafe.fr/page/28/"
"1582241820-688","http://bafe.fr","« sale bête », « sale nègre », « sale gonzesse »","http://lmsi.net/Sale-bete-sale-negre-sale-gonzesse","Page suivante","http://bafe.fr/page/22/"
"1582241837-877","http://bafe.fr","De l’expression « racisme anti-blancs »","https://msdreydful.wordpress.com/2013/05/24/de-lexpression-racisme-anti-blancs/","Page suivante","http://bafe.fr/page/29/"
"1582241802-478","http://bafe.fr","Dans ma bibliothèque – Simone de Beauvoir, Le Deuxième sexe","https://cafaitgenre.org/2013/06/05/dans-ma-bibliotheque-simone-de-beauvoir-le-deuxieme-sexe/","Page suivante","http://bafe.fr/page/15/"
"1582241800-421","http://bafe.fr","Moi, ça va","https://web.archive.org/web/20160402000131/http://uneheuredepeine.tumblr.com/post/53693897240/moi-%C3%A7a-va","Page suivante","http://bafe.fr/page/14/"
"1582241811-566","http://bafe.fr","Le grand méchant client","http://ras-la-chatte.over-blog.com/2015/09/le-grand-mechant-client.html","Page suivante","http://bafe.fr/page/18/"
"1582241776-152","http://bafe.fr","Tribune : Le racisme en France, un tabou à lire entre les lignes","https://www.deuxiemepage.fr/2017/01/25/tribune-racisme-france-tabou-a-lire-entre-lignes/","Page suivante","http://bafe.fr/page/5/"
"1582241843-967","http://bafe.fr","[vidéo] Un cookie ? : les violeurs / harceleurs ont peut être vécu des choses difficiles","https://youtu.be/AGK9JVL5sCI","Page suivante","http://bafe.fr/page/32/"
"1582241839-909","http://bafe.fr","Ne pas se raser n’est pas toujours un choix pour les femmes racisées / NOT SHAVING ISN’T ALWAYS A CHOICE FOR WOMEN OF COLOUR","http://www.gal-dem.com/shavingforwoc/","Page suivante","http://bafe.fr/page/30/"
"1582241766-45","http://bafe.fr","Communication en ligne : 5 principes pour rendre vos contenus web accessibles","https://access42.net/communication-online-5-principes-pour-rendre-vos-contenus-web-accessibles","",""
"1582241800-430","http://bafe.fr","[anglais] I’m Suspicious of Male “Feminists” — And You Should Be Too","https://medium.com/@alicengrey/i-m-suspicious-of-male-feminists-and-you-should-be-too-441055a2e614","Page suivante","http://bafe.fr/page/14/"
"1582241837-889","http://bafe.fr","La question blanche (quatrième partie)","http://lmsi.net/La-question-blanche-Quatrieme","Page suivante","http://bafe.fr/page/29/"
"1582241782-237","http://bafe.fr","Manifeste pour une fin de la malbaise","http://roseaux.co/2017/09/manifeste-malbaise/","Page suivante","http://bafe.fr/page/7/"
"1582241825-737","http://bafe.fr","8 Signs Your Yoga Practice Is Culturally Appropriated – And Why It Matters","http://everydayfeminism.com/2016/05/yoga-cultural-appropriation/","Page suivante","http://bafe.fr/page/24/"
"1582241769-71","http://bafe.fr","Les femmes noires reçoivent une insulte sur Twitter toutes les 30 secondes","https://www.huffingtonpost.fr/2018/12/19/les-femmes-noires-recoivent-une-insulte-sur-twitter-toutes-les-30-secondes_a_23622277/?fbclid=IwAR1YH_NCHMOmkJlFcqrYwNf4-C43lnXLh9Q8kJfq-lR9Qkw-uRnlarNRWKU","Page suivante","http://bafe.fr/page/2/"
"1582241825-722","http://bafe.fr","Le « dévoilement » des femmes, une longue histoire française","http://contre-attaques.org/magazine/article/le-devoilement#nb7","Page suivante","http://bafe.fr/page/24/"
"1582241793-349","http://bafe.fr","Insultes, menaces, appels au viol : enquête sur le cyberharcèlement sexiste","http://www.neonmag.fr/insultes-menaces-appels-au-viol-enquete-sur-le-cyberharcelement-sexiste-482379.html","Page suivante","http://bafe.fr/page/11/"
"1582241782-233","http://bafe.fr","120 minutes de colère","http://friction-magazine.fr/120-minutes-de-colere/","Page suivante","http://bafe.fr/page/7/"
"1582241827-768","http://bafe.fr","Consentement et sexualité ! Compte-rendu de l’atelier !","https://collectiffeministe.wordpress.com/2013/09/05/consentement-et-sexualite-compte-rendu-de-latelier/","Page suivante","http://bafe.fr/page/25/"
"1582241776-155","http://bafe.fr","TROP MOCHE LA VIE : RICHE MAIS HANDICAPE(E)","https://auxmarchesdupalais.wordpress.com/2016/05/27/trop-moche-la-vie-riche-mais-handicapee/","Page suivante","http://bafe.fr/page/5/"
"1582241822-691","http://bafe.fr","…pour être laissée à des rigolos","http://uneheuredepeine.blogspot.pt/2012/08/pour-etre-laissee-des-rigolos.html","Page suivante","http://bafe.fr/page/23/"
"1582241832-817","http://bafe.fr","Pour une non-mixité entre féministes","http://redtac.org/possibles/2014/10/01/pour-une-non-mixite-entre-feministes/","Page suivante","http://bafe.fr/page/27/"
"1582241822-701","http://bafe.fr","L’humour est une arme","https://web.archive.org/web/20170602182735/http://www.egalitariste.net/2013/04/21/lhumour-est-une-arme/","Page suivante","http://bafe.fr/page/23/"
"1582241771-119","http://bafe.fr","[vidéo] [anglais avec sous titres français] The urgency of intersectionality / L’urgence de l’intersectionnalité","https://www.ted.com/talks/kimberle_crenshaw_the_urgency_of_intersectionality","Page suivante","http://bafe.fr/page/3/"
"1582241832-818","http://bafe.fr","La non-mixité : une nécessité politique","http://lmsi.net/La-non-mixite-une-necessite","Page suivante","http://bafe.fr/page/27/"
"1582241804-496","http://bafe.fr","[vidéo] Un cookie ? : tone policing et sealioning","https://www.youtube.com/watch?v=gunT60j-2GM&list=PLhBTPBBSq3xSDwUE1ok49XEIEICJ5XnGI&index=27","Page suivante","http://bafe.fr/page/16/"
"1582241841-933","http://bafe.fr","Les hormones c’est remboursé?","https://wakeningprincess.wordpress.com/2015/06/25/les-hormones-cest-rembourse/","Page suivante","http://bafe.fr/page/31/"
"1582241771-106","http://bafe.fr","[vidéo] [avec sous titres] Je ne suis pas ta leçon de vie","https://www.youtube.com/watch?v=RhM4eE_vZpA","Page suivante","http://bafe.fr/page/3/"
"1582241829-801","http://bafe.fr","L’impuissance comme idéal de beauté des femmes – une faible occupation de l’espace","https://antisexisme.net/2016/01/11/impuissance-02/","Page suivante","http://bafe.fr/page/26/"
"1582241802-466","http://bafe.fr","Pourquoi les mecs devraient ils être féministes?","http://clemmiewonder.tumblr.com/post/17212981353/pourquoi-les-mecs-devraient-ils-%C3%AAtre-f%C3%A9ministes","Page suivante","http://bafe.fr/page/15/"
"1582241776-153","http://bafe.fr","De la comparaison entre élevage et esclavage","https://tpunchintersectionnel.wordpress.com/2015/10/21/dossier-de-la-comparaison-entre-elevage-et-esclavage/","Page suivante","http://bafe.fr/page/5/"
"1582241845-1010","http://bafe.fr","« Faux Viols » : Réfléchissez Un Peu !","http://lechodessorcieres.net/faux-viols-reflechissez-un-peu/","Page suivante","http://bafe.fr/page/33/"
"1582241811-569","http://bafe.fr","Comment la blancheur [whiteness] perpétue le racisme ? Entretien avec Robin DiAngelo","https://www.etatdexception.net/comment-la-blancheur-whiteness-perpetue-le-racisme-entretien-avec-robin-diangelo/","Page suivante","http://bafe.fr/page/18/"
"1582241793-334","http://bafe.fr","Interview : Féministes contre le cyberharcèlement, la lutte est aussi digitale","https://www.deuxiemepage.fr/2017/01/18/interview-feministes-contre-le-cyberharcelement-lutte-digitale/","Page suivante","http://bafe.fr/page/11/"
"1582241784-257","http://bafe.fr","Depuis quand les Chinois sont-ils jaunes ?","https://sinologiemontpellier.wordpress.com/2013/10/24/depuis-quand-les-chinois-sont-ils-jaunes-%e4%b8%ad%e5%9b%bd%e4%ba%ba%e8%87%aa%e4%bd%95%e6%97%b6%e8%b5%b7%e8%a2%ab%e7%a7%b0%e4%b8%ba%e9%bb%84%e7%a7%8d%e4%ba%ba-%ef%bc%9f/","Page suivante","http://bafe.fr/page/8/"
"1582241773-134","http://bafe.fr","Top 8 des stéréotypes de femmes racisées dans le cinéma français","http://www.lallab.org/top-8-des-stereotypes-de-femmes-racisees-dans-le-cinema-francais/","Page suivante","http://bafe.fr/page/4/"
"1582241798-392","http://bafe.fr","Arguments anti-féministes (3) « Tu donnes une mauvaise image des féministes »","https://cafaitgenre.org/2013/08/29/arguments-anti-feministes-3-tu-donnes-une-mauvaise-image-des-feministes/","Page suivante","http://bafe.fr/page/13/"
"1582241825-748","http://bafe.fr","Dénoncer le fléau du «volontourisme» en Afrique avec des poupées Barbie","http://www.slate.fr/story/117133/volontourisme-barbie-ong-humanitaire-afrique","Page suivante","http://bafe.fr/page/24/"
"1582241793-338","http://bafe.fr","Dressage au collège : comprendre par l’humiliation qu’il « faut » s’épiler","http://tempsreel.nouvelobs.com/rue89/nos-vies-intimes/20170719.OBS2289/dressage-au-college-comprendre-par-l-humiliation-qu-il-faut-s-epiler.html","Page suivante","http://bafe.fr/page/11/"
"1582241804-491","http://bafe.fr","Valider à tout prix le physique des femmes","http://www.crepegeorgette.com/2015/08/03/valider-physique-femmes/","Page suivante","http://bafe.fr/page/16/"
"1582241839-927","http://bafe.fr","Les personnages LGBT à la télévision ont une fâcheuse tendance à mourir","http://www.slate.fr/story/132485/arretons-enterrer-les-gays","Page suivante","http://bafe.fr/page/30/"
"1582241820-678","http://bafe.fr","Analyse des insultes psychophobes","https://trolldejardin.wordpress.com/2017/06/23/analyse-des-insultes-psychophobes/","Page suivante","http://bafe.fr/page/22/"
"1582241798-399","http://bafe.fr","La faute à Ève","http://www.jaddo.fr/2015/03/28/la-faute-a-eve/","Page suivante","http://bafe.fr/page/13/"
"1582241766-47","http://bafe.fr","[podcast] Pourquoi je peux dire pédé et pas toi","https://www.binge.audio/pourquoi-je-peux-dire-pede-et-pas-toi/","",""
"1582241822-714","http://bafe.fr","The Black Muslim Activist Tearing Down the Boundaries Around Womanhood","https://broadly.vice.com/en_us/article/43gvb9/the-black-muslim-activist-tearing-down-the-boundaries-around-womanhood-blair-imani","Page suivante","http://bafe.fr/page/23/"
"1582241829-802","http://bafe.fr","Fat people doing sport","http://fatpeopledoingsport.tumblr.com/","Page suivante","http://bafe.fr/page/26/"
"1582241771-107","http://bafe.fr","[podcast] Qui sont les conjoints violents ?","https://soundcloud.com/lescouilles-podcast/qui-sont-les-conjoints-violents","Page suivante","http://bafe.fr/page/3/"
"1582241818-647","http://bafe.fr","#superhumans ?","http://lmsi.net/SUPERHUMANS","Page suivante","http://bafe.fr/page/21/"
"1582241813-586","http://bafe.fr","[vidéo] Première vague du féminisme","http://teledebout.org/index.php?page=premiere-vague","Page suivante","http://bafe.fr/page/19/"
"1582241782-213","http://bafe.fr","Séries et bisexualité [1/2] « de quelle représentation parle-t-on? » : entre invisibilisation et préjugés","http://simonae.fr/sciences-culture/cinema-series-spectacles-vivants/series-et-bisexualite-1/","Page suivante","http://bafe.fr/page/7/"
"1582241771-96","http://bafe.fr","Boîte à outils d’analyse de films","http://www.lecinemaestpolitique.fr/la-boite-a-outils/","Page suivante","http://bafe.fr/page/3/"
"1582241841-946","http://bafe.fr","Comment reconnaître un homme violent ?","http://lysandra-w.tumblr.com/post/149468218281/comment-reconna%C3%AEtre-un-homme-violent","Page suivante","http://bafe.fr/page/31/"
"1582241813-576","http://bafe.fr","Les prostituées, premières victimes de la nouvelle loi","http://www.huffingtonpost.fr/odile-buisson/les-prostituees-premieres-victimes-de-la-nouvelle-loi_b_9677894.html","Page suivante","http://bafe.fr/page/19/"
"1582241804-492","http://bafe.fr","« Harceler les femmes n’est pas une preuve de ta virilité »","http://www.lallab.org/harceler-les-femmes-ne-prouve-pas-ta-virilite/","Page suivante","http://bafe.fr/page/16/"
"1582241850-1053","http://bafe.fr","Hanane Karimi : la mosquée pour tous","http://www.lesinrocks.com/2014/02/04/actualite/hanane-karimi-la-mosquee-pour-tous-11468815","Page suivante","http://bafe.fr/page/35/"
"1582241820-677","http://bafe.fr","Pourquoi je ne suis pas (et ne peux pas être) NTphobe","https://trolldejardin.wordpress.com/2016/10/28/pourquoi-je-ne-suis-pas-et-ne-peux-pas-etre-ntphobe/","Page suivante","http://bafe.fr/page/22/"
"1582241795-382","http://bafe.fr","Un cookie ? : les violeurs sont des malades mentaux","https://www.youtube.com/watch?v=za-O9cVjVEY&list=PLhBTPBBSq3xSDwUE1ok49XEIEICJ5XnGI&index=28","Page suivante","http://bafe.fr/page/12/"
"1582241773-124","http://bafe.fr","[podcast] Dans le Genre Paul B. Preciado, « trans-viril »","http://www.nova.fr/podcast/dans-le-genre/29-dans-le-genre-paul-b-preciado","Page suivante","http://bafe.fr/page/4/"
"1582241848-1030","http://bafe.fr","Comment les femmes observent l’espace public ? L’exemple des marches exploratoire de la porte de Vanves","https://api-site.paris.fr/images/83020","Page suivante","http://bafe.fr/page/34/"
"1582241841-947","http://bafe.fr","Dessine-moi un éléphant","http://unmug.tumblr.com/post/134519602042/dessine-moi-un-%C3%A9l%C3%A9phant","Page suivante","http://bafe.fr/page/31/"
"1582241811-542","http://bafe.fr","Le domicile, un espace sûr pour les femmes ?","http://www.crepegeorgette.com/2017/01/18/chambre-soi/","Page suivante","http://bafe.fr/page/18/"
"1582241841-949","http://bafe.fr","Le mythe du sexisme anti-hommes","https://feminazgulencolere.wordpress.com/2017/03/22/le-mythe-du-sexisme-anti-hommes/","Page suivante","http://bafe.fr/page/31/"
"1582241832-834","http://bafe.fr","[vidéo] Rencontre et échanges à l’issue de la projection d’Ouvrir la voix","http://www.univ-lyon2.fr/culture-savoirs/podcasts/rencontre-et-echanges-a-l-issue-de-la-projection-d-ouvrir-la-voix-716156.kjsp","Page suivante","http://bafe.fr/page/27/"
"1582241771-92","http://bafe.fr","La représentation des catégories socioprofessionnelles à la télévision","https://www.inegalites.fr/La-representation-des-categories-socioprofessionnelles-a-la-television","Page suivante","http://bafe.fr/page/3/"
"1582241809-514","http://bafe.fr","[podcast] Histoire du poil","https://www.franceculture.fr/emissions/les-matins/histoire-du-poil","Page suivante","http://bafe.fr/page/17/"
"1582241804-481","http://bafe.fr","Je veux comprendre… le slut-shaming","http://www.madmoizelle.com/slut-shaming-115244","Page suivante","http://bafe.fr/page/16/"
"1582241769-88","http://bafe.fr","29 exemples de privilège mince","https://graspolitique.wordpress.com/2016/06/30/29-exemples-de-privilege-mince-ou-comment-savoir-si-tu-as-deja-souffert-de-grossophobie/","Page suivante","http://bafe.fr/page/2/"
"1582241850-1060","http://bafe.fr","AfterBaiz, le site anti-IVG déguisé qui cherche à vous baiser","http://www.madmoizelle.com/after-baiz-site-anti-ivg-601043","Page suivante","http://bafe.fr/page/35/"
"1582241832-827","http://bafe.fr","Pour le droit à la non-mixité","https://blogs.mediapart.fr/les-invites-de-mediapart/blog/020516/pour-le-droit-la-non-mixite","Page suivante","http://bafe.fr/page/27/"
"1582241771-91","http://bafe.fr","Le problème avec les hommes qui n’aiment que les femmes asiatiques","http://www.slate.fr/story/172302/femmes-asiatiques-essentialisme-stereotypes-moix-colonisation-fetichisme","Page suivante","http://bafe.fr/page/3/"
"1582241780-181","http://bafe.fr","[vidéo] [anglais] Dark-skinned girls explain colourism.","https://www.facebook.com/bbcthree/videos/vb.7519460786/10155460673670787/?type=2&theater","Page suivante","http://bafe.fr/page/6/"
"1582241800-444","http://bafe.fr","LA PAROLE DES CONCERNÉ·E·S : ENTRE ÉMANCIPATION, CONFISCATION ET RISQUES D’ESSENTIALISATION","http://simonae.fr/militantisme/feminismes/les-bases/la-parole-des-concernes-entre-emancipation-confiscation-et-risques-dessentialisation/","Page suivante","http://bafe.fr/page/14/"
"1582241769-66","http://bafe.fr","[podcast] L’horloge biologique, on t’a pas sonnée. Un enfant si je veux, quand je veux ?","https://www.arteradio.com/son/61661252/l_horloge_biologique_t_a_pas_sonnee_17","Page suivante","http://bafe.fr/page/2/"
"1582241827-752","http://bafe.fr","A vous qui vous éclatez avec vos Hand Spinner…","https://autiepearl.wordpress.com/2017/05/30/a-vous-qui-vous-eclatez-avec-vos-hand-spinner/","Page suivante","http://bafe.fr/page/25/"
